name,categories,state,stars
Rocky's,"['Sandwiches', 'Restaurants', 'Italian', 'Diners', 'Breakfast & Brunch', 'Mexican']",PA,3.0
Bellacino's Pizza & Grinders,"['Italian', 'Restaurants', 'Pizza']",NC,3.0
Zeppe's Pizzeria,"['Pizza', 'Caterers', 'Italian', 'Wraps', 'Event Planning & Services', 'Restaurants']",OH,3.0
Arpino Trattoria,"['Italian', 'Restaurants']",PA,4.0
Tanzy,"['Restaurants', 'Nightlife', 'Bars', 'Lounges', 'American (New)', 'Italian', 'Mediterranean']",AZ,3.5
Pizza Hut,"['Pizza', 'Restaurants', 'Italian', 'Chicken Wings']",AZ,3.0
Oregano's Pizza Bistro,"['Pizza', 'Italian', 'Restaurants']",AZ,3.5
Toscana Brick Oven,"['Italian', 'Pizza', 'Restaurants']",PA,3.0
American Croatian Lodge,"['Event Planning & Services', 'Bakeries', 'Caterers', 'Party & Event Planning', 'Public Services & Government', 'Restaurants', 'Food', 'Venues & Event Spaces', 'Italian', 'Community Centers']",OH,3.0
Verona Chophouse,"['American (New)', 'Steakhouses', 'Italian', 'Restaurants']",AZ,4.0
Angelos of Fort Mill,"['Seafood', 'Italian', 'Restaurants', 'Greek']",SC,5.0
Buster's Pizza & Cream of White Oak,"['Ice Cream & Frozen Yogurt', 'Pizza', 'Restaurants', 'Food', 'Italian']",PA,4.0
Defalco's Italian Grocery,"['Delis', 'Sandwiches', 'Restaurants', 'Italian']",AZ,4.5
Raimondo's,"['Pizza', 'Restaurants', 'Italian']",AZ,3.5
Pizza Hut,"['Italian', 'Restaurants', 'Chicken Wings', 'Pizza']",AZ,2.0
D'Imperio's Restaurant,"['Restaurants', 'Italian']",PA,3.5
Caffe Boa Ahwatukee,"['American (New)', 'Italian', 'Restaurants', 'Seafood']",AZ,3.5
BiCE Ristorante,"['Bars', 'Italian', 'Nightlife', 'Lounges', 'Restaurants']",AZ,3.0
Rinaldi's Italian Deli,"['Restaurants', 'Italian', 'Delis']",AZ,3.5
Sbarro the Italian Eatery,"['Italian', 'Restaurants']",NV,2.5
Pizza Hut,"['Italian', 'Pizza', 'Restaurants', 'Chicken Wings']",NC,1.5
Brio Tuscan Grille,"['Restaurants', 'Bars', 'Nightlife', 'Breakfast & Brunch', 'Italian']",OH,2.5
Zeppe's Pizzeria,"['Caterers', 'Specialty Food', 'Italian', 'Pasta Shops', 'Pizza', 'Wraps', 'Chicken Wings', 'Food', 'Event Planning & Services', 'Restaurants']",OH,3.0
Bravi,"['Restaurants', 'Italian']",AZ,2.5
Mama Cimino's,"['Food', 'Restaurants', 'Pizza', 'Italian']",NV,2.5
Pizza Hut,"['Pizza', 'Restaurants', 'Italian', 'Chicken Wings']",NC,1.5
Bol Italia,"['Italian', 'Restaurants']",AZ,4.5
Dubrovnik Garden Restaurant,"['Modern European', 'Italian', 'Restaurants']",OH,3.5
Cabo Mexican Restaurant,"['Italian', 'Steakhouses', 'Restaurants', 'Seafood', 'American (Traditional)', 'Mexican', 'Buffets']",NV,3.0
Mastrioni's,"['Restaurants', 'Italian', 'Seafood']",NV,4.0
Pizza Hut,"['Chicken Wings', 'Italian', 'Restaurants', 'Pizza']",AZ,2.0
Il Burloni La Pizza E Cucina,"['Italian', 'Salad', 'Restaurants', 'Pizza']",PA,4.0
Danny's Pizza,"['Pizza', 'Italian', 'Sandwiches', 'Restaurants']",SC,4.0
Eklectic Pie - Mesa,"['Restaurants', 'Bars', 'Italian', 'Nightlife', 'Pizza', 'Salad', 'Gluten-Free']",AZ,4.0
Barro's Pizza,"['Italian', 'Pizza', 'Restaurants', 'Sandwiches']",AZ,3.5
Olive Garden Italian Restaurant,"['Restaurants', 'Italian', 'Wine Bars', 'Nightlife', 'Salad', 'Bars']",NV,3.0
Buttitta's,"['Italian', 'Restaurants']",IL,3.0
Pizza Bosa,"['Pizza', 'Italian', 'Restaurants']",PA,3.0
Brooklyn South Pizzeria,"['Italian', 'Food', 'Restaurants', 'Beer', 'Wine & Spirits', 'Breakfast & Brunch', 'Caterers', 'Pizza', 'Event Planning & Services']",NC,3.5
E2,"['Mediterranean', 'Tapas/Small Plates', 'Italian', 'American (Traditional)', 'Restaurants']",PA,4.0
Paradiso Ristorante,"['Restaurants', 'Italian']",PA,2.0
Stino Da Napoli,"['Bars', 'Nightlife', 'Restaurants', 'Italian']",OH,4.0
Pasquale's Pizzeria,"['Restaurants', 'Italian', 'Pizza']",PA,3.0
Landmark Diner Restaurant,"['Diners', 'Greek', 'Breakfast & Brunch', 'Restaurants', 'Italian']",NC,3.5
Piccolina's,"['Restaurants', 'Wine Bars', 'Bars', 'Nightlife', 'Italian', 'American (New)', 'Cocktail Bars']",PA,3.0
Rocky's Pizza,"['Italian', 'Gluten-Free', 'Sandwiches', 'Restaurants', 'Food Delivery Services', 'Pizza', 'Food']",NC,4.0
Baci Italian Bistro,"['Italian', 'Restaurants']",AZ,4.0
Vit's Pizza,"['Restaurants', 'Pizza', 'Italian']",NV,2.5
Pizza Hut,"['Chicken Wings', 'Restaurants', 'Italian', 'Pizza']",NC,2.5
Pazzo,"['Gluten-Free', 'Restaurants', 'Italian', 'Salad']",PA,2.5
Luca Italian Cuisine,"['Restaurants', 'Italian']",OH,4.0
Oyster Bar,"['Nightlife', 'Italian', 'Bars', 'Seafood', 'Restaurants']",NV,4.0
Napoli Pizza,"['Restaurants', 'Pizza', 'Italian', 'Cheesesteaks']",NV,3.0
